"Group.1" "Group.2" "CXQ_T_tpm" "GY_T_tpm" "HCM_T_tpm" "LGL_T_tpm" "MYP_T_tpm" "SMJ_T_tpm" "XB_T_tpm" "CXQ_N_tpm" "GY_N_tpm" "HCM_N_tpm" "LGL_N_tpm" "MYP_N_tpm" "SMJ_N_tpm" "XB_N_tpm"
"5259" "CREB3L2" "CREB3L2" 11.38 11.68 16.21 8.27 16.89 13.33 17.2 11.11 10.18 14.19 13.45 16.25 9.44 7.12
"5260" "CREB3L2-AS1" "CREB3L2-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5261" "CREB3L3" "CREB3L3" 0.29 0 9.19 0.22 0.34 0.59 0.22 1.27 0.02 2.35 0.93 0.67 2.9 0.5
"5262" "CREB3L4" "CREB3L4" 18.18 11.11 17.29 14.41 6.93 8.6 6.69 15.44 11.98 8.4 12.49 16.46 12.78 16.89
"5263" "CREB5" "CREB5" 0.61 1.64 2.12 2.89 13.95 6.49 0.99 0.53 1.3 0.53 0.69 0.75 1.11 0.27
"5264" "CREBBP" "CREBBP" 13.47 10.95 15.6 14.02 12.72 10.54 13.8 6.11 9.74 7.76 11.17 12.5 10.2 3.1
"5265" "CREBL2" "CREBL2" 13.54 13.64 22.28 16.25 17.81 17.71 16.19 15.95 17.47 14.84 14.62 19.55 17.83 8.14
"5266" "CREBRF" "CREBRF" 4.77 2.7 7.97 2.58 7.53 4.17 2.17 2.7 5.22 5.22 3.81 5.37 5.31 1.14
"5267" "CREBZF" "CREBZF" 32.58 12.12 33.26 10.02 26.06 20.75 19.84 14.32 14.41 18.12 13.58 15.41 17.21 8.77
"5268" "CREG1" "CREG1" 57.87 60.14 80.02 51.59 92.78 80.11 61.06 52.88 55.44 36.31 39.95 48.07 47.44 39.52
"5269" "CREG2" "CREG2" 0 0.86 0.15 0.11 0.29 1.25 0.28 0.03 0.01 0 0 0.03 0.29 0
"5270" "CRELD1" "CRELD1" 18.53 15.32 24.84 13.97 21.41 8.93 19.54 15.35 12.42 12.88 14.21 22.25 16.08 15.83
"5271" "CRELD2" "CRELD2" 11.32 22.5 10.5 19.61 22.16 18.63 38.5 17.01 10.27 13.19 15.38 32.47 19.88 47.21
"5272" "CREM" "CREM" 17.01 16.02 26.96 10.13 60.3 46.68 20.06 12.5 13.31 10.84 10.99 13.2 14.27 11.35
"5273" "CRH" "CRH" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5274" "CRHBP" "CRHBP" 0.15 0.3 1.13 0 0.04 0 0.37 0.62 0.28 0.49 0.7 0.36 0.85 0.58
"5275" "CRHR1" "CRHR1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5276" "CRHR2" "CRHR2" 0.02 0 0.05 0 0 0 0 0.02 0.04 0 0.04 0 0 0.08
"5277" "CRIM1" "CRIM1" 29.9 17.02 23.72 18 27.15 19.67 22.15 12.44 29.77 18.29 15.52 25.43 17.83 6.81
"5278" "CRIM1-DT" "CRIM1-DT" 0.26 0.26 0.53 0.13 0 0.51 0.67 0.99 0.37 0.72 0.71 0.51 0.97 0.75
"5279" "CRIP1" "CRIP1" 6.1 122.16 18.88 30.08 27.98 19.14 116.29 58.41 47.17 58.67 25.76 45.56 110.66 106.01
"5280" "CRIP1P1" "CRIP1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5281" "CRIP1P2" "CRIP1P2" 0 0 0 0 0 0 0 0 0 2.87 0 0 0 0
"5282" "CRIP1P3" "CRIP1P3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5283" "CRIP1P4" "CRIP1P4" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5284" "CRIP2" "CRIP2" 2.56 10.9 11.98 6.71 17.36 5.49 46.79 5.69 3.38 2.99 4.32 11.9 1.74 6.76
"5285" "CRIP3" "CRIP3" 1.25 2.76 5.1 3.21 0.12 0 0.72 0.49 1.7 0.82 0.27 1.09 0.67 0.57
"5286" "CRIPT" "CRIPT" 6.79 6.43 9.39 4.79 5.5 8.19 3.51 3.29 3.06 4.88 2.04 2.8 4.97 2.51
"5287" "CRISP1" "CRISP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5288" "CRISP2" "CRISP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5289" "CRISP3" "CRISP3" 0 0 0 0 0.03 0.03 0 0 0 0 0 0 0 0
"5290" "CRISPLD1" "CRISPLD1" 1.69 1.7 3.39 0.52 1.8 0.77 0.64 0.38 0.42 0.17 0.18 0.51 0.06 0.13
"5291" "CRISPLD2" "CRISPLD2" 12.94 17.36 18.11 12.51 15.44 12.08 16.43 16.15 11.05 19.04 19.47 12.31 5.94 7.43
"5292" "CRK" "CRK" 29.7 30.35 34.21 31.75 26.67 29.57 32.48 27.1 25.18 23.5 26.05 36.85 26.97 16.7
"5293" "CRKL" "CRKL" 31.25 20.29 16.19 26.79 21.66 22.43 19.68 13.84 18.94 14.14 15.37 18.26 16.6 7.19
"5294" "CRLF1" "CRLF1" 1.94 1.78 4.64 1.6 2.21 1.79 2.69 0.97 0.75 0.74 0.59 2.82 1.07 1.52
"5295" "CRLF2" "CRLF2" 0 0.47 0.5 0.15 0.67 0.65 0.44 0.13 0.22 0.09 0.39 0.52 0.23 0.17
"5296" "CRLF3" "CRLF3" 7.53 6.83 9.75 6.53 13.88 11.19 6.46 6.78 6.72 6.04 6.6 8.99 6.95 4.56
"5297" "CRLF3P1" "CRLF3P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5298" "CRLF3P2" "CRLF3P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5299" "CRLF3P3" "CRLF3P3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5300" "CRLS1" "CRLS1" 44.69 41.62 106.99 45.23 27.21 23.93 49.35 34.09 39.7 23.61 27.65 29.56 27.3 21.28
"5301" "CRMA" "CRMA" 0 0 0.59 0 0.26 0 0.27 0.18 0.11 0.11 0.11 2.64 0.13 0
"5302" "CRMP1" "CRMP1" 1.37 3.71 2.63 1.5 3.13 0.78 3.33 1.44 1.83 1 1.93 2.63 0.83 1.08
"5303" "CRNDE" "CRNDE" 7.06 2.13 0.49 0.65 4.05 5.22 4.89 0.36 0.42 0.23 0.12 0.16 2.2 0.48
"5304" "CRNKL1" "CRNKL1" 17.87 8.51 12.98 11.28 10.15 10.43 12.33 11.11 11.3 10.19 10.35 11.97 10.22 10.83
"5305" "CRNN" "CRNN" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5306" "CROCC" "CROCC" 3.99 4.42 4.52 3.78 3.82 2.07 13.83 2.24 2.57 3.93 4.02 4.61 3.81 1.63
"5307" "CROCC2" "CROCC2" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0
"5308" "CROCCP1" "CROCCP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5309" "CROCCP2" "CROCCP2" 2.325 3.065 6.07 3.28 2.875 1.86 6.325 1.955 3.56 6.275 3.78 3.04 4.805 3.155
"5310" "CROCCP3" "CROCCP3" 4.76 0.22 1.33 0.685 2.76 0.205 1.46 0.075 0.16 0.465 0.135 0.215 0.155 0.075
"5311" "CROCCP4" "CROCCP4" 0 0.26 0 0 0 0 0 0 0 0 0 0 0 0
"5312" "CROCCP5" "CROCCP5" 0 0 0 0 0.11 0 0 0 0 0 0 0 0 0
"5313" "CROT" "CROT" 6.38 7.38 6.81 4.86 7.25 6.73 3.06 7.28 13.51 12.95 10.51 9.75 6.18 4.14
"5314" "CRP" "CRP" 0 0 0 0 0.04 0 0 0.03 0 0 0 0 0.03 0
"5315" "CRPP1" "CRPP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5316" "CRPPA" "CRPPA" 0.64 0.45 1.17 0.84 0.94 0.76 0.46 0.72 0.43 0.44 0.91 0.76 0.54 0.34
"5317" "CRPPA-AS1" "CRPPA-AS1" 0.12 0 0 0 0.15 0.79 0.13 0 0.11 0 0.09 0 0 0
"5318" "CRTAC1" "CRTAC1" 0.09 0.03 0.65 0 0.89 0.07 0.08 0.05 0.1 0.62 0.09 0.42 0.12 0.31
"5319" "CRTAM" "CRTAM" 0.03 0.25 1.08 0.39 0.81 2.16 0.34 1.84 2.52 1.44 1.43 2.53 0.66 0.61
"5320" "CRTAP" "CRTAP" 144.85 106.46 126.45 76.08 109.33 87.15 98.07 55.24 70.43 36.67 39.71 58.43 43.18 37.26
"5321" "CRTC1" "CRTC1" 1.69 1.02 3 1.38 1.18 1.02 4.22 1.06 0.73 0.9 1.07 1.17 0.8 0.7
"5322" "CRTC1P1" "CRTC1P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5323" "CRTC2" "CRTC2" 21.76 14.27 20.1 9.49 28.26 20.25 17.04 12.44 14.45 16.39 10.39 15.81 11.22 13.18
"5324" "CRTC3" "CRTC3" 11.83 9.49 14.06 8.32 11.9 7.82 8.4 5.4 6.14 5.5 6.68 8.98 6.07 4.27
"5325" "CRTC3-AS1" "CRTC3-AS1" 0.24 0 0 0 0 0.3 0 0 0 0.14 0.23 0 0.14 0
"5326" "CRX" "CRX" 0.06 0 0.02 0 0.06 0.03 0 0.01 0 0.08 0 0.01 0.04 0.01
"5327" "CRY1" "CRY1" 10.93 13.43 9.75 8.43 16.83 8.61 8.14 5.85 10.11 6.36 5.84 10.2 8.05 5.13
"5328" "CRY2" "CRY2" 7.45 5.57 13.09 5.67 6.42 5.11 6.07 8.7 8.29 8.03 8.77 10.35 7.89 5.96
"5329" "CRYAA" "CRYAA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5330" "CRYAB" "CRYAB" 9 18.38 62.55 9.34 45.05 11.65 16.77 32.23 34.2 19.49 17.65 63.46 12.28 19.94
"5331" "CRYBA1" "CRYBA1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5332" "CRYBA2" "CRYBA2" 0 0 0.41 0 0 0 0.35 4.27 0.26 1.76 2.51 2.02 1.02 2.6
"5333" "CRYBA4" "CRYBA4" 0.11 0 0 0 0 0.47 0.14 0 0 0.15 0 0 0.45 0.08
"5334" "CRYBB1" "CRYBB1" 0.15 0.08 0.16 0.16 0.16 0.65 0.13 0.26 0.36 0.07 0.36 0.52 0.07 0.73
"5335" "CRYBB2" "CRYBB2" 0.47 0 0.25 0.24 0.08 0 0.21 0.4 0 0.15 0 0.12 0 0.34
"5336" "CRYBB2P1" "CRYBB2P1" 4.68 4.275 5.03 2.465 4.745 5.675 4.08 2.99 5.94 3.135 3.51 3.04 3.9 2.89
"5337" "CRYBB3" "CRYBB3" 0 0.2 0.32 0.1 0 0.1 0.35 0 0 0 0.37 0.2 0.48 0.07
"5338" "CRYBG1" "CRYBG1" 47.23 16.55 52.1 28.03 9.48 7.93 10.78 9.77 16.52 14.46 19.88 18.13 17.72 4.84
"5339" "CRYBG2" "CRYBG2" 0.73 6.86 2 6.88 7.06 1.79 9.64 3.66 3.43 2.42 4.31 1.4 8.52 2.02
"5340" "CRYBG3" "CRYBG3" 4.51 4.2 5.54 3.1 4.49 5.42 4.78 6.13 5.1 5.1 4.49 8.92 5.4 1.5
"5341" "CRYGA" "CRYGA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5342" "CRYGB" "CRYGB" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5343" "CRYGC" "CRYGC" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5344" "CRYGD" "CRYGD" 0 0 0 0 0 0 0 0 0 0 0 0 0 0.11
"5345" "CRYGEP" "CRYGEP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5346" "CRYGFP" "CRYGFP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5347" "CRYGGP" "CRYGGP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5348" "CRYGN" "CRYGN" 0 0 0.04 0 0 0 0 0 0 0 0 0.06 0 0
"5349" "CRYGS" "CRYGS" 1.85 1.52 3.21 0.97 2.54 1.26 1.76 1.06 2.32 1.54 1.81 2.12 1.19 1.46
"5350" "CRYL1" "CRYL1" 68.34 50.21 26.09 45.32 32.81 15.63 38.14 76.24 87.33 72.68 83.97 48.52 59.82 61.13
"5351" "CRYM" "CRYM" 4.88 5.53 4.71 4.36 0.82 2.93 2.1 10 3.43 6.63 4.59 6.33 6.17 6.28
"5352" "CRYM-AS1" "CRYM-AS1" 0.97 0.07 0.29 0 0.22 0.25 0.3 0.19 0.35 0.04 0.16 0.5 0.36 0.08
"5353" "CRYZ" "CRYZ" 14.74 37.06 26.18 13.79 29.38 21.23 12.23 14.47 14.58 8.72 15.21 20.69 13.62 5.08
"5354" "CRYZL1" "CRYZL1" 15.05 21.23 21.29 19.05 16.32 10.41 11.84 20.58 19.32 16.71 16.74 23.41 17.07 16.82
"5355" "CRYZL2P" "CRYZL2P" 67.63 45.77 9.88 31.49 8.9 46.89 13.33 10.58 15.35 13.41 10.65 10.54 18.36 6.09
"5356" "CRYZL2P-SEC16B" "CRYZL2P-SEC16B" 4.7 2.99 0.79 2.45 0.64 0.92 0.69 1.24 1.37 0.63 0.62 0.71 0.93 0.2
"5357" "CRYZP1" "CRYZP1" 0.79 0 0.82 0.36 0.54 0 0.6 0.08 0.41 0.25 0.32 0.42 0.49 0
"5358" "CRYZP2" "CRYZP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5359" "CS" "CS" 171.91 176.85 109.69 193.02 111.47 120.68 126.28 105.74 108.66 89.54 147.15 117.58 102.7 60.54
"5360" "CSAD" "CSAD" 15.6 8.07 25.74 2.07 14.97 8.19 6.87 9.88 13.22 16.94 9.06 14.97 11.56 5.38
"5361" "CSAG1" "CSAG1" 0 4.13 74.24 0.17 0 0.16 0 0 0 0 0 0 0.74 0
"5362" "CSAG2" "CSAG2" 0 0 8.29 0 0 0 0.05 0 0 0 0.05 0.17 0 0
"5363" "CSAG3" "CSAG3" 0 7.03 24.5 0 0 0 0.05 0 0 0 0.05 0.17 0 0
"5364" "CSAG4" "CSAG4" 0 0 1.095 0 0 0 0 0 0 0 0 0 0 0
"5365" "CSDC2" "CSDC2" 0.21 0.21 1.28 0.38 0.44 0.44 0.63 0.34 0.07 0.22 0.02 0.29 0.05 0.08
"5366" "CSDE1" "CSDE1" 160.94 117.76 311.08 206.69 184.71 129.56 136.23 141.84 160.19 134.83 133.96 206.34 124.45 80.68
"5367" "CSE1L" "CSE1L" 86.24 36.34 75.64 50.12 103.03 82.73 55.71 15.55 16.07 9.85 15.02 25.86 18.01 11.25
"5368" "CSE1L-DT" "CSE1L-DT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5369" "CSF1" "CSF1" 4.31 7.14 9.11 5.83 17.3 8.74 10.76 7.96 12.28 8.5 9.5 21.18 7.93 6.41
"5370" "CSF1R" "CSF1R" 8.51 11.34 24.59 6.18 23.99 13.12 20.93 20.19 19.39 16.63 19.12 22.11 22.92 15.23
"5371" "CSF2" "CSF2" 0.23 0.34 0 0.82 10.22 2.02 0.1 0 0 0 0 0 0 0.17
"5372" "CSF2RA" "CSF2RA" 6.61 8.45 12.9 6.96 13.99 10.95 6.27 5.38 5.64 5.02 5.27 7.98 5.23 4.69
"5373" "CSF2RB" "CSF2RB" 1.39 1.58 4.34 1.98 55.5 22.32 6.59 3.41 2.83 5.08 5.33 12.49 4.37 4.94
"5374" "CSF2RBP1" "CSF2RBP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5375" "CSF3" "CSF3" 2.52 1.09 1.18 1.1 17.05 3.7 0.11 0.15 0.05 0.12 0 1.15 0 0.38
"5376" "CSF3R" "CSF3R" 2.67 2.89 4.83 2.51 189.06 80.85 7.81 2.27 1.51 3.57 1.98 5.98 7.09 3.14
"5377" "CSGALNACT1" "CSGALNACT1" 2.22 4.06 4.82 4.66 9.73 6.86 3.65 1.08 2.03 1.3 1.27 2.14 0.92 0.81
"5378" "CSGALNACT2" "CSGALNACT2" 7.46 10.83 20.1 7.92 20.52 16.92 8.33 4.42 5.29 4.28 3.21 8.44 5.38 2.97
"5379" "CSGALNACT2-DT" "CSGALNACT2-DT" 0.1 0.05 0.66 0.05 0.15 0.05 0.53 0.12 0.13 0.04 0.04 0 0 0.11
"5380" "CSGALNACT2P1" "CSGALNACT2P1" 0 0 0 0 0 0 0 0 0.08 0 0.08 0 0 0
"5381" "CSGALNACT2P2" "CSGALNACT2P2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5382" "CSH1" "CSH1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5383" "CSH2" "CSH2" 0 0 0 0 0.13 0 0 0 0 0 0 0 0 0
"5384" "CSHL1" "CSHL1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5385" "CSK" "CSK" 35.04 22.8 35.95 38.75 35.04 38.35 61.62 35.16 21.82 36.17 30.69 46.27 36.24 46.69
"5386" "CSKMT" "CSKMT" 2.42 3.03 3.52 5.35 2.42 3.41 4.33 2.92 1.46 0.5 2.1 3.64 5.8 2.94
"5387" "CSMD1" "CSMD1" 0 1.98 0.33 0.18 0.01 0 0.2 0.01 0.02 0.04 0.15 0.02 0 0.13
"5388" "CSMD2" "CSMD2" 0.23 0.56 0.6 0.28 0.69 0.28 0.57 0.06 0.13 0.03 0.12 0.3 0.14 0.07
"5389" "CSMD2-AS1" "CSMD2-AS1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5390" "CSMD3" "CSMD3" 0 0.03 0.02 0.03 0 0 0.28 0.09 0.11 0.02 0.1 0.07 0.07 0.01
"5391" "CSN1S1" "CSN1S1" 0 0 0 0 0.38 0 0 0 0 0 0 0.08 0 0.39
"5392" "CSN1S2AP" "CSN1S2AP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5393" "CSN2" "CSN2" 0 0 0 0 0.07 0 0 0 0 0 0 0 0 0
"5394" "CSN3" "CSN3" 0 0 0 0 0 0 0 0 0.1 0 0 0 0 0
"5395" "CSNK1A1" "CSNK1A1" 96.95 55.38 75.28 73.28 59.95 89.56 54.82 42.7 50.34 47.48 42.57 60.06 50.39 26.5
"5396" "CSNK1A1L" "CSNK1A1L" 0 0 0 0 0.03 0 0 0 0 0.05 0.05 0 0 0
"5397" "CSNK1A1P1" "CSNK1A1P1" 0 0 0.03 0 0.03 0 0.05 0 0.03 0.09 0.03 0.09 0 0
"5398" "CSNK1A1P3" "CSNK1A1P3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5399" "CSNK1D" "CSNK1D" 71.73 67.78 65.81 61.39 82.22 56.23 51.92 45.25 51.51 64.82 58.42 61.77 49.81 33.9
"5400" "CSNK1E" "CSNK1E" 56.56 57.97 54.38 48.55 39.46 34.93 63.26 34.22 21.27 20.87 26.25 30.95 28.98 18.67
"5401" "CSNK1G1" "CSNK1G1" 6.44 4.74 5.41 7.78 7.27 5.77 3.36 3.04 4.55 4.9 4.96 5.28 5.25 2.12
"5402" "CSNK1G2" "CSNK1G2" 18.74 17.12 13.74 14.61 23.36 20.71 46.86 13.38 7.12 9.17 8.67 15.29 9.88 13.48
"5403" "CSNK1G2-AS1" "CSNK1G2-AS1" 0 0 0 0 0.06 0 0 0 0 0 0 0.06 0.06 0
"5404" "CSNK1G2P1" "CSNK1G2P1" 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0
"5405" "CSNK1G3" "CSNK1G3" 24.38 18.03 22.29 21.49 20.63 24.64 13.27 16.11 16.61 19.46 18.63 23.44 19.83 8.2
"5406" "CSNK2A1" "CSNK2A1" 60.12 64.69 59.03 99.19 50.12 46.94 68.55 39.58 43.03 46.72 48.41 55.4 44.06 20.64
"5407" "CSNK2A2" "CSNK2A2" 29.93 25.19 42.05 28.08 30.9 32.98 26.65 12.5 16.15 10.24 11.75 14.46 14.45 10.92
"5408" "CSNK2A3" "CSNK2A3" 0 0 0.14 0 0 0 0 0.2 0 0 0 0 0 0
"5409" "CSNK2B" "CSNK2B" 200.4 127.1 153.93 148.51 115.22 82.07 248.32 131.48 98.61 94.86 116.34 114.88 110.53 144.61
"5410" "CSNKA2IP" "CSNKA2IP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5411" "CSP1" "CSP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5412" "CSP2" "CSP2" 0 0 0 0 0.11 0 0 0.09 0.05 0 0 0.1 0 0
"5413" "CSPG4" "CSPG4" 0.8 2.13 3.03 1.18 3.96 0.67 5.55 0.94 1.14 0.52 0.56 2.84 0.39 0.5
"5414" "CSPG4BP" "CSPG4BP" 0 0 0 0 0.01 0.01 0 0 0 0 0 0 0 0
"5415" "CSPG4P10" "CSPG4P10" 0 0.05 0.02 0 0.07 0 0.05 0 0.06 0.04 0.03 0.09 0.07 0
"5416" "CSPG4P11" "CSPG4P11" 0.06 0.1 0.17 0.09 0.16 0 0.2 0 0.13 0.09 0.13 0.3 0.02 0
"5417" "CSPG4P12" "CSPG4P12" 0.12 0 0.17 0 0 0 0.05 0.05 0 0 0 0.11 0 0
"5418" "CSPG4P13" "CSPG4P13" 0.01 0.01 0.01 0.01 0.27 0 0.1 0.02 0.04 0.01 0.02 0.08 0.06 0
"5419" "CSPG4P1Y" "CSPG4P1Y" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5420" "CSPG4P2Y" "CSPG4P2Y" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5421" "CSPG4P3Y" "CSPG4P3Y" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5422" "CSPG4P4Y" "CSPG4P4Y" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5423" "CSPG4P5" "CSPG4P5" 0 0 0.07 0.01 0 0.02 0.02 0 0 0.07 0.06 0.2 0.03 0
"5424" "CSPG5" "CSPG5" 0 0.53 0.22 0.17 0.17 0.2 0.68 0.23 0.25 0.74 0.09 0.21 0.27 0.15
"5425" "CSPP1" "CSPP1" 6.97 9.28 15.48 7.9 18.69 10.89 7.48 5.2 7.72 5.55 5.34 6.9 6.23 1.85
"5426" "CSRNP1" "CSRNP1" 12.58 7.98 9.39 11.02 25.14 13.35 11.11 11.81 6.41 8.8 9.02 12.24 7.45 8.19
"5427" "CSRNP2" "CSRNP2" 16.08 9.7 9.61 7.37 8.76 8.18 10.67 4.92 6.43 6.67 4.21 7.42 6.71 2.14
"5428" "CSRNP3" "CSRNP3" 0.09 0.36 0.5 0.09 0.2 0.07 0.15 0.21 0.22 0.21 1.14 0.58 0.45 0.09
"5429" "CSRP1" "CSRP1" 135.63 169.21 332.46 157.09 114.66 103.08 151.05 145.81 142.52 104.71 118.98 469.85 100.94 122.61
"5430" "CSRP1-AS1" "CSRP1-AS1" 1.73 1.49 1.81 1.88 1.13 0.71 1.18 2.77 2.29 2.95 1.68 2.1 2.78 1.59
"5431" "CSRP2" "CSRP2" 8.35 20.37 21.82 7.16 21.78 12.31 17.39 10.14 11.98 10.05 6.41 12.95 4.74 10.62
"5432" "CSRP3" "CSRP3" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5433" "CSRP3-AS1" "CSRP3-AS1" 0.23 0 0 0 0 0 0 0.59 0 0 0 0 0 0
"5434" "CST1" "CST1" 57.88 108.62 167.82 44.66 105.67 21.1 60.32 0.86 0.47 0.35 0.34 0.62 0.58 2.33
"5435" "CST11" "CST11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5436" "CST12P" "CST12P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5437" "CST13P" "CST13P" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5438" "CST2" "CST2" 1.13 2.63 10.63 0.41 0.52 0.49 3.29 0.32 0.12 0 0 0 0 0.18
"5439" "CST2P1" "CST2P1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5440" "CST3" "CST3" 154.36 271.25 218.75 136.35 171.24 131.88 799.34 519.87 291.09 325.79 265.42 333.72 428.36 639.5
"5441" "CST4" "CST4" 2.59 0.25 1.03 0 0 0.73 0 0 0 0 0 0 0 0
"5442" "CST5" "CST5" 0 0 0.13 0.13 0 0 0 0 0 0 0 0 0 0
"5443" "CST6" "CST6" 0 0 0 0.37 0 0 4.52 0 0 0 0 0 0 0
"5444" "CST7" "CST7" 3.15 4.34 5.06 3.14 28.91 12.79 10.71 3.84 7.89 4.37 2.47 8.34 7.88 9.9
"5445" "CST8" "CST8" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5446" "CST9" "CST9" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5447" "CST9L" "CST9L" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5448" "CST9LP1" "CST9LP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5449" "CST9LP2" "CST9LP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5450" "CSTA" "CSTA" 4.09 4.59 9.01 5.75 25.98 15.29 8.58 5.52 2.73 4.66 2.58 12.01 8.65 8.51
"5451" "CSTB" "CSTB" 234.6 825.73 183.73 349.25 297.49 328.3 472.75 199.73 146.49 139.77 172.48 117.74 194.53 195.4
"5452" "CSTF1" "CSTF1" 28.47 16.22 24.93 20.87 33.2 34.46 20.52 13.3 12.28 9.27 12.1 13.88 14.44 7.98
"5453" "CSTF2" "CSTF2" 22.94 14.47 18.17 15.78 12.14 11.85 21.99 7.96 8.52 11.45 11.93 10.7 9.1 7.38
"5454" "CSTF2T" "CSTF2T" 11.24 11.22 12.64 13.46 12.89 7.9 8.22 7.08 9.36 7.23 7.58 11.92 7.86 6.31
"5455" "CSTF3" "CSTF3" 20.12 17.98 30.68 22.62 21.46 29.45 17.91 12.47 11.13 10.73 12.09 16.63 16.44 10.61
"5456" "CSTF3-DT" "CSTF3-DT" 0.02 0 0.05 0 0 0 0.06 0.03 0 0.07 0 0.21 0.56 0.08
"5457" "CSTL1" "CSTL1" 1.5 0 0 0 0 0 0 0.19 0 0 0 0 0.25 0
"5458" "CSTP1" "CSTP1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5459" "CSTP2" "CSTP2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5460" "CSTPP1" "CSTPP1" 42.8 29.5 43.92 43.84 18.6 17.77 34.55 15.19 19.52 15.06 16.99 14.29 15.62 11.29
"5461" "CT45A1" "CT45A1" 0 0 72.82 0 0 0 0 0 0 0.13 0 0 0 0
"5462" "CT45A10" "CT45A10" 0 9.64 7.28 0 0 0 0 0 0 0 0 0 0 0
"5463" "CT45A11P" "CT45A11P" 0 0 0.14 0.07 0 0.07 0 0 0 0 0 0 0 0
"5464" "CT45A2" "CT45A2" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5465" "CT45A3" "CT45A3" 0 0 1.71 0 0 0 0 0 0 0 0 0 0 0
"5466" "CT45A5" "CT45A5" 0.32 1.16 17.11 0.03 0.34 0.25 0.04 0.27 0.04 0.21 0.14 0.11 0.23 0.06
"5467" "CT45A6" "CT45A6" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5468" "CT45A7" "CT45A7" 0 0.28 0 0 0 0 0 0 0 0 0 0 0 0
"5469" "CT45A8" "CT45A8" 0 0 6.49 0 0 0 0 0 0 0 0.11 0 0 0
"5470" "CT45A9" "CT45A9" 0 0.14 0 0 0 0 0 0 0 0 0.11 0 0 0
"5471" "CT47A1" "CT47A1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5472" "CT47A10" "CT47A10" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5473" "CT47A11" "CT47A11" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5474" "CT47A12" "CT47A12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0
